summary,grade,review
"상품명: 03.셰퍼드체크 반팔세트 / 사이즈: XL(105.5~110)
사이즈잘 맞아요착용감편해요원단보통이에요",4,한달사용기남편잠옷으로 삿는데 편하고 좋네요
"상품명: 05.블럭ST 반팔세트 / 사이즈: M(95)
체형170cm62kg상의 M하의 28인치사이즈잘 맞아요착용감편해요원단보통이에요",5,너무 이쁘고 좋아요
"상품명: 02.페인체크 반팔세트 / 사이즈: XL(105.5~110)
원단부드러워요사이즈잘 맞아요착용감아주 편해요",5,국산인데다 천도 부드럽고 디자인도 무난하고 좋아요!잠옷은 편하게 입어야해서 한사이즈 크게 주문했는데 목도 라운드넥이어서 걸리는부분없고 편할거같아요.
"상품명: 03.셰퍼드체크 반팔세트 / 사이즈: M(95)
원단부드러워요사이즈잘 맞아요착용감아주 편해요",5,원단이 얇고 부드럽고 시원해서 여름잠옷으로 이만한게 없을거 같아요. 가격대비 너무 좋아서 딴건 눈에 보이지도 않네요ㅋㅋ
"상품명: 04.오리엔탈 반팔세트 / 사이즈: XL(105.5~110)
사이즈잘 맞아요착용감편해요원단보통이에요",4,한달사용기남편잠옷으로 삿어요 편하네요
"상품명: 16.썸머레빗 반팔세트 / 사이즈: M(95)
원단부드러워요사이즈잘 맞아요착용감아주 편해요",5,배송이 빨라 좋습니다. 잘 입겠습니다.
"상품명: 12.클래식블루 반팔세트 / 사이즈: M(95)
체형165cm65kg상의 M하의 30인치사이즈잘 맞아요착용감편해요원단보통이에요",4,"생각보다 좀더 여름에 가까운 잠옷인듯 합니다. 많이 얇은 소재이고요~재질은 괜찮네요. 다만 봉투에 ""우편""으로 보내지는건 참고들 하시기 바랍니다."
"상품명: 03.셰퍼드체크 반팔세트 / 사이즈: XL(105.5~110)
사이즈많이 커요착용감아주 편해요원단뻣뻣해요",5,잘맞고.편해요.옷감도부드럽고.
"상품명: 04.오리엔탈 반팔세트 / 사이즈: XL(105.5~110)
사이즈약간 커요 (기타)착용감편해요원단보통이에요",5,부모님 사드리려고 샀어요ㅎㅎ 디자인 색상다 이쁩니다
"상품명: 03.셰퍼드체크 반팔세트 / 사이즈: L(100~105)
체형163cm52kg상의 S하의 27인치원단부드러워요사이즈잘 맞아요착용감아주 편해요",5,뭐니뭐니 체크가 파자마 느낌 무난하게 나고 좋아하는패턴이라 나머지와 같이 구매했는데 깔끔하니 좋아요. 신랑이 피부가 예민한데 너무 좋다고 편하고 앞으로 여기서만 구매해야겠어요
"상품명: 09.네이비ST 반팔세트 / 사이즈: L(100~105)
체형163cm52kg상의 S하의 27인치원단부드러워요사이즈잘 맞아요착용감아주 편해요",5,카라가 없어서 편하고 택배 오자마자 세탁돌리고 건조기 했는데 물빠짐 없고 사이즈도 그대로에요. 가랑이 사이 박음질도 이중으로 되어있어 정말 튼튼해보여요. 세심한 작업의 손길이 느껴져요
"상품명: 07.퍼플블루ST 반팔세트 / 사이즈: L(100~105)
체형163cm52kg상의 S하의 27인치원단부드러워요사이즈잘 맞아요착용감아주 편해요",5,신랑 주려고 구매했는데 카라없는걸 원해서 찾다 구매했는데 너무 맘에 들어해요. 가격이 좀 나가서 고민하다 4벌 샀는데 박음질도 꼼꼼하고 정말 좋아요원단도. 건조기 돌려도 말짱하네요
"상품명: 08.리본오리 반팔세트 / 사이즈: M(95)
사이즈잘 맞아요착용감편해요원단보통이에요",5,사이즈 다 좋고 얇아서 시원할듯. 소재가 면이라 신축성은 없어요~
"상품명: 04.오리엔탈 반팔세트 / 사이즈: L(100~105)
체형163cm52kg상의 S하의 27인치원단부드러워요사이즈잘 맞아요착용감아주 편해요",5,"색깔 디자인 패턴 모두 너무 고급스러워요. 
신랑이4개 구매한것중 가장 맘에 들어하네요. 
너무 고급지고 원단도 부드럽고 너무 좋아요"
"상품명: 05.블럭ST 반팔세트 / 사이즈: XL(105.5~110)
체형153cm57kg상의 L하의 29인치원단부드러워요사이즈잘 맞아요착용감아주 편해요",5,색상도예쁘고  싸이즈도 잘맞아요
"상품명: 05.블럭ST 반팔세트 / 사이즈: L(100~105)
원단부드러워요사이즈약간 커요착용감아주 편해요",5,"보들보들 좋고 잘 입고 있어요
배송도 빨라요"
"상품명: 03.셰퍼드체크 반팔세트 / 사이즈: L(100~105)
원단부드러워요사이즈잘 맞아요착용감아주 편해요",5,동남아 여행가서 입으려고 샀는데 너무 만족이에요.
"상품명: 02.페인체크 반팔세트 / 사이즈: XL(105.5~110)
사이즈잘 맞아요착용감편해요원단보통이에요",5,일부러 넉넉하게 주문했는데 소재 시원하고 편안하대요~
"상품명: 03.셰퍼드체크 반팔세트 / 사이즈: M(95)
체형164cm57kg상의 M원단부드러워요사이즈잘 맞아요착용감아주 편해요",5,너무좋아서 식구대로 다샀어요
"상품명: 08.리본오리 반팔세트 / 사이즈: XL(105.5~110)
사이즈잘 맞아요착용감편해요원단보통이에요",5,한달사용기소재가 시원해서 지금보단 여름에 더 잘 입을거같아요
